mapping_id,source_standard_id,source_edition_status,source_clause,source_semantic_item,target_resource,target_property_or_class,mapping_relation,cardinality_status,loss_disposition,evidence_level,conformance_claim,verification_gate,notes,source_cardinality,target_cardinality,target_datatype_or_range,controlled_vocabulary,local_constraint_status,unconstrained_targets,shacl_requirement_ids,positive_fixture_ids,negative_fixture_ids,shape_ids
KR-XW-028,MOLIT-BASIC-TRAFFIC-II-2021-1060,current,PENDING-LAWFUL-FULLTEXT,field-equipment observation payload,molit:ObservationDataset,molit:observedProperty|molit:missingValuePolicy,candidate-related,pending-source-clause,potential-code-loss,E1,informative-pending,BS-TRANSPORT-UNIT-SEMANTICS,Equipment fault and missing codes require an exact payload crosswalk.,pending-source-clause,MOLIT-OBS-001-P-MISSINGVALUEPOLICY-001=1..1|MOLIT-OBS-001-P-OBSERVEDPROPERTY-001=1..1,MOLIT-OBS-001-P-MISSINGVALUEPOLICY-001=http://www.w3.org/ns/shacl#IRI|MOLIT-OBS-001-P-OBSERVEDPROPERTY-001=http://www.w3.org/ns/shacl#IRI,MOLIT-OBS-001-P-MISSINGVALUEPOLICY-001=https://data.molit.go.kr/id/concept/missing-value-policy/exclude-from-aggregation&https://data.molit.go.kr/id/concept/missing-value-policy/explicit-code&https://data.molit.go.kr/id/concept/missing-value-policy/imputed&https://data.molit.go.kr/id/concept/missing-value-policy/preserve-missing|MOLIT-OBS-001-P-OBSERVEDPROPERTY-001=https://data.molit.go.kr/id/concept/observed-property/speed&https://data.molit.go.kr/id/concept/observed-property/traffic-volume&https://data.molit.go.kr/id/concept/observed-property/travel-time,linked,none,MOLIT-OBS-001-P-MISSINGVALUEPOLICY-001|MOLIT-OBS-001-P-OBSERVEDPROPERTY-001,POS-OBSERVATION-OBSERVATION-CATALOG,NEG-MUT-OBS-001-P-MISSINGVALUEPOLICY-001|NEG-MUT-OBS-001-P-OBSERVEDPROPERTY-001,https://data.molit.go.kr/shape/molit-dcat-ap/1.0.0-rc.1#ObservationDatasetShape
KR-XW-029,MOLIT-BASIC-TRAFFIC-III-2023-20,current,PENDING-LAWFUL-FULLTEXT,public API observation payload,molit:ObservationDataset,molit:observationAggregation|molit:aggregationPeriod,candidate-related,pending-source-clause,potential-window-loss,E1,informative-pending,BS-TRANSPORT-UNIT-SEMANTICS,API aggregation windows and source timestamps require a fixture.,pending-source-clause,MOLIT-OBS-001-P-AGGREGATIONPERIOD-001=1..1|MOLIT-OBS-001-P-OBSERVATIONAGGREGATION-001=1..1,MOLIT-OBS-001-P-AGGREGATIONPERIOD-001=http://www.w3.org/2001/XMLSchema#duration|MOLIT-OBS-001-P-OBSERVATIONAGGREGATION-001=http://www.w3.org/ns/shacl#IRI,MOLIT-OBS-001-P-AGGREGATIONPERIOD-001=none|MOLIT-OBS-001-P-OBSERVATIONAGGREGATION-001=https://data.molit.go.kr/id/concept/observation-aggregation/arithmetic-mean&https://data.molit.go.kr/id/concept/observation-aggregation/instantaneous&https://data.molit.go.kr/id/concept/observation-aggregation/maximum&https://data.molit.go.kr/id/concept/observation-aggregation/median&https://data.molit.go.kr/id/concept/observation-aggregation/minimum&https://data.molit.go.kr/id/concept/observation-aggregation/sum,linked,none,MOLIT-OBS-001-P-AGGREGATIONPERIOD-001|MOLIT-OBS-001-P-OBSERVATIONAGGREGATION-001,POS-OBSERVATION-OBSERVATION-CATALOG,NEG-MUT-OBS-001-P-AGGREGATIONPERIOD-001|NEG-MUT-OBS-001-P-OBSERVATIONAGGREGATION-001,https://data.molit.go.kr/shape/molit-dcat-ap/1.0.0-rc.1#ObservationDatasetShape
KR-XW-030,MOLIT-BASIC-TRAFFIC-IV-2016-208,current,PENDING-LAWFUL-FULLTEXT,roadside-to-vehicle observation payload,molit:ObservationDataset,molit:observedProperty|molit:observationUnit,candidate-related,pending-source-clause,potential-unit-loss,E1,informative-pending,BS-TRANSPORT-UNIT-SEMANTICS,Wireless payload semantics are not inferred from other basic-traffic interfaces.,pending-source-clause,MOLIT-OBS-001-P-OBSERVATIONUNIT-001=1..1|MOLIT-OBS-001-P-OBSERVEDPROPERTY-001=1..1,MOLIT-OBS-001-P-OBSERVATIONUNIT-001=http://www.w3.org/ns/shacl#IRI|MOLIT-OBS-001-P-OBSERVEDPROPERTY-001=http://www.w3.org/ns/shacl#IRI,MOLIT-OBS-001-P-OBSERVATIONUNIT-001=http://qudt.org/vocab/unit/KiloM-PER-HR&http://qudt.org/vocab/unit/M-PER-SEC&http://qudt.org/vocab/unit/MIN&http://qudt.org/vocab/unit/NUM&http://qudt.org/vocab/unit/SEC&https://data.molit.go.kr/id/unit/vehicle-per-day&https://data.molit.go.kr/id/unit/vehicle-per-hour|MOLIT-OBS-001-P-OBSERVEDPROPERTY-001=https://data.molit.go.kr/id/concept/observed-property/speed&https://data.molit.go.kr/id/concept/observed-property/traffic-volume&https://data.molit.go.kr/id/concept/observed-property/travel-time,linked,none,MOLIT-OBS-001-P-OBSERVATIONUNIT-001|MOLIT-OBS-001-P-OBSERVEDPROPERTY-001,POS-OBSERVATION-OBSERVATION-CATALOG,NEG-MUT-OBS-001-P-OBSERVATIONUNIT-001|NEG-MUT-OBS-001-P-OBSERVEDPROPERTY-001,https://data.molit.go.kr/shape/molit-dcat-ap/1.0.0-rc.1#ObservationDatasetShape
KR-XW-031,MOIS-NOTICE-2025-19,current,PENDING-LAWFUL-FULLTEXT,administrative identifier governance,candidate-registry,candidate-scheme:organization|candidate-scheme:administrative-area,candidate-related,pending-source-clause,authority-pending,E1,informative-pending,BS-DOMESTIC-VOCABULARY,Candidate IRIs are not authoritative organization or administrative-area identifiers.,pending-source-clause,no-local-constraint,no-local-constraint,no-local-constraint,no-local-constraint,candidate-scheme:organization|candidate-scheme:administrative-area,no-local-constraint,no-local-constraint,no-local-constraint,no-local-constraint
KR-XW-032,SRC-KR-005,verified-live-guidance,live-page-no-fixed-clause,KOGL licence type,candidate-registry,candidate-scheme:kogl-license,candidate-related,not-a-standard-clause,authority-pending,E1,informative-pending,BS-DOMESTIC-VOCABULARY,Candidate concepts are not dct:LicenseDocument values and have no exactMatch to official deeds.,not-a-standard-clause,no-local-constraint,no-local-constraint,no-local-constraint,no-local-constraint,candidate-scheme:kogl-license,no-local-constraint,no-local-constraint,no-local-constraint,no-local-constraint
KR-XW-033,KS-X-ISO-19110,current,PENDING-LAWFUL-FULLTEXT,feature catalogue and feature type,dcat:Dataset,dct:conformsTo|dct:type,candidate-related,pending-source-clause,potential-schema-loss,E1,informative-pending,BS-ISO19115-KS-CLAUSE,A feature catalogue is retained as a versioned content schema and is not reduced to a theme.,pending-source-clause,no-local-constraint,no-local-constraint,no-local-constraint,no-local-constraint,dct:conformsTo|dct:type,no-local-constraint,no-local-constraint,no-local-constraint,no-local-constraint
KR-XW-034,KS-X-ISO-19135-1,current,PENDING-LAWFUL-FULLTEXT,register item lifecycle,SKOS-candidate-schemes,adms:status|owl:versionInfo|rdfs:isDefinedBy,candidate-related,pending-source-clause,governance-pending,E1,informative-pending,BS-DOMESTIC-VOCABULARY,RC.1 candidate-term governance is not a KS register-procedure conformity claim.,pending-source-clause,no-local-constraint,no-local-constraint,no-local-constraint,no-local-constraint,adms:status|owl:versionInfo|rdfs:isDefinedBy,no-local-constraint,no-local-constraint,no-local-constraint,no-local-constraint
KR-XW-035,KS-X-ISO-19119,current,PENDING-LAWFUL-FULLTEXT,geographic information service,dcat:DataService,dcat:endpointURL|dct:conformsTo,candidate-related,pending-source-clause,potential-operation-loss,E1,informative-pending,BS-ISO19115-KS-CLAUSE,Service-operation and coupling semantics require a retained service description.,pending-source-clause,MOLIT-SVC-001-P-ENDPOINTURL-001=1..unbounded,MOLIT-SVC-001-P-ENDPOINTURL-001=http://www.w3.org/ns/shacl#IRI,MOLIT-SVC-001-P-ENDPOINTURL-001=none,partial,dct:conformsTo,MOLIT-SVC-001-P-ENDPOINTURL-001,POS-CORE-SECTOR-AND-SERVICE-CATALOG,NEG-MUT-SVC-001-P-ENDPOINTURL-001,https://data.molit.go.kr/shape/molit-dcat-ap/1.0.0-rc.1#DataServiceShape
KR-XW-036,KS-X-ISO-19136-1,current,PENDING-LAWFUL-FULLTEXT,GML geometry encoding,molit:SpatialDataset,geo:gmlLiteral,candidate-related,pending-source-clause,potential-schema-loss,E1,informative-pending,BS-CRS-COVERAGE,RC.1 lexical checks do not establish full GML application-schema conformance.,pending-source-clause,MOLIT-GEO-ENCODING-002=unspecified..unbounded|MOLIT-GEO-TYPE-002=unspecified..unbounded,MOLIT-GEO-ENCODING-002=http://www.opengis.net/ont/geosparql#gmlLiteral|MOLIT-GEO-TYPE-002=http://www.opengis.net/ont/geosparql#gmlLiteral,MOLIT-GEO-ENCODING-002=none|MOLIT-GEO-TYPE-002=none,linked,none,MOLIT-GEO-ENCODING-002|MOLIT-GEO-TYPE-002,POS-GEO-GEO-CATALOG,NEG-MUT-GEO-ENCODING-002|NEG-MUT-GEO-TYPE-002,https://data.molit.go.kr/shape/molit-dcat-ap/1.0.0-rc.1#GmlGeometryCrsShape|https://data.molit.go.kr/shape/molit-dcat-ap/1.0.0-rc.1#GmlGeometryTypeShape
KR-XW-037,KS-X-ISO-19136-2,current,PENDING-LAWFUL-FULLTEXT,GML extension schema,dcat:Distribution,dct:conformsTo,candidate-related,pending-source-clause,potential-extension-loss,E1,informative-pending,BS-CRS-COVERAGE,Extension schema identity is content conformance and not a metadata-profile marker.,pending-source-clause,no-local-constraint,no-local-constraint,no-local-constraint,no-local-constraint,dct:conformsTo,no-local-constraint,no-local-constraint,no-local-constraint,no-local-constraint
KR-XW-038,KS-X-ISO-19139,retired,PENDING-LAWFUL-FULLTEXT,legacy metadata XML,legacy-ingest-lane,retained-source-record,legacy-only,pending-source-clause,loss-ledger-required,E1,informative-pending,BS-ISO19115-XML-TECH,Successful parsing must not promote a retired encoding to current KS conformance.,pending-source-clause,no-local-constraint,no-local-constraint,no-local-constraint,no-local-constraint,retained-source-record,no-local-constraint,no-local-constraint,no-local-constraint,no-local-constraint
KR-XW-039,KS-X-ISO-TS-19139-1,current,PENDING-LAWFUL-FULLTEXT,XML encoding rules,ingest-lane,canonical-RDF-projection,candidate-transform,pending-source-clause,loss-ledger-required,E1,informative-pending,BS-ISO19115-XML-TECH,Encoding-rule and source-edition routing require lawful text and fixtures.,pending-source-clause,no-local-constraint,no-local-constraint,no-local-constraint,no-local-constraint,canonical-RDF-projection,no-local-constraint,no-local-constraint,no-local-constraint,no-local-constraint
KR-XW-040,KS-X-ISO-TS-19157-2,current,PENDING-LAWFUL-FULLTEXT,quality XML encoding,quality-ingest-lane,molit:QualityMappingStatement,candidate-transform,pending-source-clause,loss-ledger-required,E1,informative-pending,BS-QUALITY-LOSS,XML result structures remain retained source evidence until round-trip verification.,pending-source-clause,MOLIT-QUAL-MAP-001=unspecified..unbounded,MOLIT-QUAL-MAP-001=unconstrained-by-direct-shacl,MOLIT-QUAL-MAP-001=none,linked,none,MOLIT-QUAL-MAP-001,POS-QUALITY-QUALITY-CATALOG,NEG-MUT-QUAL-MAP-001,https://data.molit.go.kr/shape/molit-dcat-ap/1.0.0-rc.1#QualityMappingStatementShape
KR-XW-041,TTAK.KO-10.1510-Part1,current,PENDING-LAWFUL-FULLTEXT,digital national-land data model,dcat:Dataset,dct:conformsTo,candidate-related,pending-source-clause,potential-model-loss,E1,informative-pending,BS-TTA-CROSSWALK,The content model is not replaced by catalogue metadata.,pending-source-clause,no-local-constraint,no-local-constraint,no-local-constraint,no-local-constraint,dct:conformsTo,no-local-constraint,no-local-constraint,no-local-constraint,no-local-constraint
KR-XW-042,TTAK.KO-10.1510-Part2,current,PENDING-LAWFUL-FULLTEXT,digital national-land GML encoding,dcat:Distribution,dct:conformsTo|dct:format,candidate-related,pending-source-clause,potential-schema-loss,E1,informative-pending,BS-TTA-CROSSWALK,GML encoding conformance needs the source schema and valid-invalid fixtures.,pending-source-clause,no-local-constraint,no-local-constraint,no-local-constraint,no-local-constraint,dct:conformsTo|dct:format,no-local-constraint,no-local-constraint,no-local-constraint,no-local-constraint
KR-XW-043,TTAE.IT-Y.3603,current,PENDING-LAWFUL-FULLTEXT,data-catalogue conceptual model,MOLIT-AP,core-resource-model,candidate-related,pending-source-clause,unassessed,E1,informative-pending,BS-TTA-CROSSWALK,No conceptual-model equivalence is asserted from title and abstract evidence.,pending-source-clause,no-local-constraint,no-local-constraint,no-local-constraint,no-local-constraint,core-resource-model,no-local-constraint,no-local-constraint,no-local-constraint,no-local-constraint
KR-XW-044,NGII-DIRECTIVE-2025-06-02,current,PENDING-LAWFUL-FULLTEXT,geospatial standardization governance,MOLIT-AP,governance-and-geo-module,candidate-related,pending-source-clause,governance-pending,E1,informative-pending,BS-STANDARD-STATUS-EVIDENCE,Directive applicability and approval workflow require authorized institutional review.,pending-source-clause,no-local-constraint,no-local-constraint,no-local-constraint,no-local-constraint,governance-and-geo-module,no-local-constraint,no-local-constraint,no-local-constraint,no-local-constraint
KR-XW-045,TTAS.KO-10.0157,retired,PENDING-LAWFUL-FULLTEXT,retired geographic quality standard,legacy-quality-record,molit:QualityMappingStatement,legacy-only,pending-source-clause,loss-ledger-required,E1,informative-pending,BS-QUALITY-LOSS,A retired source is preserved for historical records and not used as the current normative baseline.,pending-source-clause,MOLIT-QUAL-MAP-001=unspecified..unbounded,MOLIT-QUAL-MAP-001=unconstrained-by-direct-shacl,MOLIT-QUAL-MAP-001=none,linked,none,MOLIT-QUAL-MAP-001,POS-QUALITY-QUALITY-CATALOG,NEG-MUT-QUAL-MAP-001,https://data.molit.go.kr/shape/molit-dcat-ap/1.0.0-rc.1#QualityMappingStatementShape
KR-XW-046,TTAS.KO-10.0139-R1,confirmation-required,PENDING-LAWFUL-FULLTEXT,legacy geographic metadata catalogue,legacy-ingest-lane,canonical-RDF-projection,status-unconfirmed,pending-source-clause,loss-ledger-required,E1,informative-pending,BS-STANDARD-STATUS-EVIDENCE,Lifecycle confirmation is required before any compatibility claim.,pending-source-clause,no-local-constraint,no-local-constraint,no-local-constraint,no-local-constraint,canonical-RDF-projection,no-local-constraint,no-local-constraint,no-local-constraint,no-local-constraint
KR-XW-047,KS-X-ISO-19157,current,PENDING-LAWFUL-FULLTEXT,earlier geographic data quality edition,legacy-quality-record,molit:QualityMappingStatement,candidate-migration,pending-edition-diff,loss-ledger-required,E1,informative-pending,BS-QUALITY-LOSS,Edition differences with KS X ISO 19157-1 require lawful text and separate fixtures.,pending-source-clause,MOLIT-QUAL-MAP-001=unspecified..unbounded,MOLIT-QUAL-MAP-001=unconstrained-by-direct-shacl,MOLIT-QUAL-MAP-001=none,linked,none,MOLIT-QUAL-MAP-001,POS-QUALITY-QUALITY-CATALOG,NEG-MUT-QUAL-MAP-001,https://data.molit.go.kr/shape/molit-dcat-ap/1.0.0-rc.1#QualityMappingStatementShape
KR-XW-048,KS-X-ISO-19136,retired,PENDING-LAWFUL-FULLTEXT,retired GML edition,legacy-ingest-lane,geo:gmlLiteral,legacy-only,pending-source-clause,potential-schema-loss,E1,informative-pending,BS-ISO19115-XML-TECH,A retired GML edition may be parsed only through an explicitly selected legacy lane.,pending-source-clause,no-local-constraint,no-local-constraint,no-local-constraint,no-local-constraint,geo:gmlLiteral,no-local-constraint,no-local-constraint,no-local-constraint,no-local-constraint
